carrier,hub,source_location_id,brand,zone,on_time_to_window,sales_channel,has_a_scope,ease_of_delivery,ease_of_scheduling,delivery_weekday,delivery_month,create_to_deliver,create_to_first_offer,create_to_visible,first_offer_to_delivery,hub_to_first_offer,ship_to_hub,visible_to_ship,create_to_ship,nps_score
PRNL,CHIC,75,TEMPUR,Zone 1,Missing Data,Direct to Consumer,0,5.0,4.0,6,9,28.375,6.583333333,0.708333333,21.79166667,1.208333333,0.458333333,4.208333333,4.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 2,On time,Direct to Consumer,0,5.0,5.0,2,6,12.58333333,8.583333333,1.166666667,4.0,5.875,0.833333333,0.708333333,1.0,10.0
SPCG,FKLN,59,TEMPUR,Zone 1,On time,TRS,0,5.0,4.0,5,2,34.375,33.58333333,4.666666667,0.791666667,26.125,0.833333333,1.958333333,6.0,0.0
SPCG,FKLN,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,10,9.666666667,9.583333333,0.75,0.083333333,5.291666667,1.875,1.666666667,2.0,9.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,2.0,4.5,6,3,11.33333333,3.583333333,0.583333333,7.75,1.208333333,0.666666667,1.125,1.0,2.0
SSYS,NAVI,81,TEMPUR,Zone 1,On time,TRS,0,5.0,3.5,6,11,11.625,11.58333333,0.583333333,0.041666667,3.041666667,4.958333333,3.0,3.0,8.0
PRNL,28,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,1,6.666666667,3.583333333,0.625,3.083333333,1.083333333,0.25,1.625,2.0,10.0
SPCG,MORR,81,TEMPUR,Zone 2,Late,Direct to Consumer,0,5.0,4.0,4,9,12.70833333,12.58333333,4.916666667,0.125,5.083333333,0.875,1.708333333,6.0,4.0
DRYN,ELPA,160,TEMPUR,Zone 1,Late,Direct to Consumer,0,5.0,4.0,7,2,9.5,9.5,0.5,0.0,3.083333333,1.0,4.916666667,5.0,10.0
PRNL,ROUS,75,TEMPUR,Zone 3,On time,TRS,0,3.0,5.0,5,1,17.58333333,17.58333333,6.458333333,0.0,8.166666667,1.083333333,1.875,8.0,10.0
PRNL,RIVE,91,TEMPUR,Zone 1,Late,TRS,0,5.0,5.0,5,3,10.41666667,9.583333333,3.666666667,0.833333333,5.0,0.208333333,0.708333333,4.0,10.0
NVCP,BREA,175,TEMPUR,Zone 2,On time,Other,1,2.5,3.5,2,8,11.45833333,4.583333333,0.791666667,6.875,3.083333333,0.125,0.583333333,1.0,6.0
SPCG,LITT,430,SEALY,Zone 3,On time,S&F.com,0,5.0,5.0,3,9,14.375,13.58333333,3.666666667,0.791666667,5.166666667,0.083333333,4.666666667,8.0,10.0
PRNL,RICA,417,SEALY,Zone 1,On time,Other,0,5.0,5.0,6,7,16.66666667,13.58333333,1.333333333,3.083333333,6.0,0.0,4.875,6.0,10.0
PRNL,ROUS,75,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,5,9,9.541666667,4.583333333,0.583333333,4.958333333,1.166666667,0.791666667,2.041666667,2.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 2,On time,TRS,0,5.0,5.0,7,7,11.5,9.583333333,5.458333333,1.916666667,1.041666667,1.208333333,1.875,7.0,10.0
SPCG,FKLN,59,TEMPUR,Zone 1,Late,Direct to Consumer,0,4.0,3.0,5,1,15.58333333,10.58333333,1.5,5.0,2.208333333,0.833333333,6.041666667,7.0,7.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,3,10,8.583333333,4.583333333,0.75,4.0,0.875,1.333333333,1.625,2.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 2,On time,TRS,0,5.0,5.0,2,9,11.5,6.583333333,0.666666667,4.916666667,1.25,3.5,1.166666667,1.0,10.0
SSYS,IRVN,150,TEMPUR,Zone 1,On time,Direct to Consumer,1,5.0,3.0,5,6,13.45833333,8.583333333,0.75,4.875,3.291666667,0.666666667,3.875,4.0,10.0
PRNL,VEGA,160,TEMPUR,Zone 1,On time,TRS,0,5.0,4.0,5,7,14.5,11.54166667,0.791666667,2.958333333,5.125,4.75,0.875,1.0,9.0
NVCP,LKWD,472,SEALY,Zone 1,On time,Sealy.com,0,5.0,5.0,2,1,26.54166667,19.58333333,8.791666667,6.958333333,6.083333333,0.166666667,4.541666667,13.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 2,On time,Direct to Consumer,0,4.5,4.0,3,6,14.625,10.58333333,6.583333333,4.041666667,1.166666667,0.875,1.958333333,8.0,9.0
SPCG,LITT,150,TEMPUR,Zone 3,On time,Direct to Consumer,0,3.5,3.5,3,10,8.666666667,8.583333333,0.416666667,0.083333333,4.166666667,1.0,3.0,3.0,10.0
PRNL,SANF,190,TEMPUR,Zone 2,On time,TRS,0,4.0,4.0,2,1,20.45833333,10.58333333,0.75,9.875,9.041666667,0.083333333,0.708333333,1.0,8.0
DRYN,HILE,91,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,5,10,7.5,6.541666667,0.666666667,0.958333333,1.083333333,0.25,4.541666667,5.0,10.0
DRYN,ELPA,160,TEMPUR,Zone 1,On time,Direct to Consumer,1,1.0,1.0,6,4,5.791666667,5.0,0.458333333,0.791666667,1.541666667,0.833333333,2.166666667,2.0,4.0
PRNL,RIVE,91,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,3,6,6.416666667,5.583333333,0.625,0.833333333,4.0,0.125,0.833333333,1.0,10.0
DRYN,HILE,91,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,3,1,8.5,4.541666667,1.625,3.958333333,1.125,0.25,1.541666667,3.0,10.0
DRYN,HILE,91,TEMPUR,Zone 1,Early,Direct to Consumer,0,4.5,4.5,6,2,8.583333333,6.541666667,1.333333333,2.041666667,1.083333333,0.25,3.875,5.0,9.0
DRYN,SANA,150,TEMPUR,Zone 3,On time,Other,0,5.0,5.0,4,12,16.58333333,2.5,0.583333333,14.08333333,1.041666667,0.583333333,0.291666667,0.0,10.0
PRNL,RICA,190,TEMPUR,Zone 1,On time,TRS,0,4.5,5.0,7,2,5.541666667,3.583333333,0.583333333,1.958333333,2.0,0.0,4.916666667,5.0,10.0
DRYN,HOUN,150,TEMPUR,Zone 1,On time,Direct to Consumer,0,4.0,4.0,6,1,4.333333333,3.5,0.708333333,0.833333333,1.041666667,0.666666667,1.083333333,1.0,9.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,3,9,8.416666667,4.583333333,0.666666667,3.833333333,1.166666667,1.041666667,1.708333333,2.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,4,8,23.625,23.20833333,14.41666667,0.416666667,4.583333333,2.25,1.958333333,16.0,10.0
PRNL,VEGA,160,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,3,7,9.416666667,9.416666667,1.166666667,0.0,5.208333333,0.791666667,2.25,3.0,10.0
DRYN,HOUN,150,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,4,10,8.333333333,2.5,0.333333333,5.833333333,1.083333333,0.583333333,0.5,0.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,Early,Direct to Consumer,0,3.5,5.0,2,9,14.33333333,2.583333333,0.666666667,11.75,1.083333333,0.083333333,0.75,1.0,8.0
SSYS,COGA,81,TEMPUR,Zone 1,Early,Direct to Consumer,1,5.0,5.0,5,7,10.58333333,10.58333333,0.541666667,0.0,2.041666667,6.208333333,1.791666667,2.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,2,6,14.41666667,5.583333333,0.416666667,8.833333333,2.208333333,0.916666667,2.041666667,2.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,Direct to Consumer,1,5.0,5.0,4,10,8.583333333,4.583333333,0.875,4.0,2.041666667,0.291666667,1.375,2.0,10.0
SSYS,NAVI,81,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,3.5,4,5,13.625,13.58333333,0.416666667,0.041666667,7.25,1.958333333,3.958333333,4.0,9.0
PRNL,CHRT,81,TEMPUR,Zone 1,Late,TRS,0,5.0,5.0,5,8,10.70833333,10.58333333,0.791666667,0.125,8.25,0.541666667,1.0,1.0,10.0
PRNL,90,59,TEMPUR,Zone 3,On time,Direct to Consumer,0,5.0,5.0,4,2,21.45833333,17.58333333,0.416666667,3.875,10.29166667,1.916666667,4.958333333,5.0,10.0
SSYS,NAVI,75,TEMPUR,Zone 2,On time,TRS,0,5.0,5.0,3,6,22.41666667,18.95833333,13.45833333,3.458333333,2.416666667,1.958333333,1.125,14.0,10.0
SSYS,DAYT,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,7,26.41666667,7.583333333,0.666666667,18.83333333,1.125,0.583333333,5.208333333,5.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,0,4.0,4.0,2,10,14.625,10.58333333,6.458333333,4.041666667,1.25,0.833333333,2.041666667,8.0,10.0
PRNL,RIVE,91,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,7,5,9.583333333,7.0,0.625,2.583333333,5.333333333,0.25,0.791666667,1.0,10.0
SPCG,WAKE,75,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,1.5,2,3,21.58333333,18.58333333,0.708333333,3.0,0.125,15.20833333,2.541666667,3.0,10.0
SPCG,LITT,150,TEMPUR,Zone 2,On time,Other,0,5.0,5.0,4,5,22.625,8.583333333,0.375,14.04166667,2.041666667,3.75,2.416666667,2.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 2,Early,Direct to Consumer,0,4.0,2.0,3,6,12.45833333,7.583333333,1.541666667,4.875,1.125,1.125,3.791666667,5.0,5.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,Costco,0,5.0,5.0,6,6,8.666666667,6.583333333,0.583333333,2.083333333,2.0,0.291666667,3.708333333,4.0,10.0
PRNL,RIVE,91,TEMPUR,Zone 1,Early,TRS,0,4.5,4.0,4,8,12.45833333,6.583333333,0.791666667,5.875,3.041666667,0.125,2.625,3.0,8.0
DRYN,AUSN,150,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,5,3,8.375,5.5,1.541666667,2.875,3.041666667,0.583333333,0.333333333,1.0,10.0
PRNL,ROUS,75,TEMPUR,Zone 3,On time,TRS,0,5.0,5.0,4,12,16.375,10.58333333,0.666666667,5.791666667,2.208333333,5.541666667,2.166666667,2.0,5.0
SSYS,DAYT,403,SEALY,Zone 1,On time,S&F.com,0,2.5,5.0,7,12,11.33333333,10.58333333,8.75,0.75,1.125,0.083333333,0.625,9.0,2.0
SPCG,CONC,59,TEMPUR,Zone 1,On time,TRS,1,5.0,1.0,2,11,21.5,15.58333333,2.458333333,5.916666667,6.208333333,2.041666667,4.875,7.0,10.0
SPCG,ALBU,170,TEMPUR,Zone 1,Late,TRS,0,4.5,2.0,7,6,3.666666667,2.333333333,1.458333333,1.333333333,0.0,0.791666667,0.083333333,1.0,7.0
DRYN,HILE,91,TEMPUR,Zone 3,On time,Direct to Consumer,1,5.0,5.0,7,3,13.625,6.791666667,2.666666667,6.833333333,1.333333333,0.25,2.541666667,5.0,10.0
SSYS,PLFD,75,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,5,3,15.45833333,6.625,1.541666667,8.833333333,-20.79166667,24.70833333,1.166666667,2.0,10.0
DRYN,GRPR,101,TEMPUR,Zone 1,Late,TRS,0,2.5,3.0,6,6,22.625,22.5,1.583333333,0.125,1.041666667,15.625,4.25,5.0,8.0
NVCP,LKWD,185,TEMPUR,Zone 1,Early,TRS,0,4.0,4.0,6,2,8.583333333,6.583333333,1.333333333,2.0,2.208333333,0.041666667,3.0,4.0,9.0
NDLV,JAFL,81,TEMPUR,Zone 1,Late,TRS,1,3.0,1.0,6,9,10.66666667,8.375,1.416666667,2.291666667,0.916666667,4.875,1.166666667,2.0,10.0
PRNL,CHIC,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,3,22.375,12.58333333,9.5,9.791666667,1.25,0.541666667,1.291666667,10.0,10.0
NVCP,BREA,420,SEALY,Zone 2,Early,S&F.com,0,5.0,5.0,5,3,20.41666667,8.583333333,5.041666667,11.83333333,3.083333333,0.25,0.208333333,5.0,10.0
DRYN,AUSN,150,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,2,6,7.458333333,5.5,2.541666667,1.958333333,1.041666667,0.5,1.416666667,3.0,10.0
SPCG,KENN,150,TEMPUR,Zone 1,Missing Data,TRS,1,2.5,3.5,3,3,15.58333333,4.583333333,0.666666667,11.0,-0.125,2.5,1.541666667,2.0,7.0
SPCG,CONC,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,3,7,9.583333333,9.583333333,1.166666667,0.0,5.041666667,2.0,1.375,2.0,10.0
SPCG,ROCH,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,4,1,15.45833333,13.58333333,0.708333333,1.875,5.208333333,5.916666667,1.75,2.0,10.0
SPCG,TUAL,185,TEMPUR,Zone 1,On time,TRS,0,4.0,4.0,5,6,23.45833333,17.33333333,0.5,6.125,3.875,2.875,10.08333333,10.0,5.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,Direct to Consumer,1,5.0,5.0,2,5,26.45833333,6.583333333,0.708333333,19.875,4.041666667,0.291666667,1.541666667,2.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 2,On time,Direct to Consumer,0,1.0,4.5,7,12,16.54166667,8.583333333,0.458333333,7.958333333,2.958333333,0.375,4.791666667,5.0,7.0
PRNL,STLO,101,TEMPUR,Zone 1,Early,Direct to Consumer,0,3.0,4.0,6,12,16.375,9.583333333,0.166666667,6.791666667,8.25,0.833333333,0.333333333,0.0,7.0
PRNL,27,59,TEMPUR,Zone 2,On time,TRS,1,5.0,5.0,7,3,12.29166667,7.583333333,0.625,4.708333333,5.041666667,0.541666667,1.375,2.0,10.0
SPCG,WAKE,75,TEMPUR,Zone 1,On time,TRS,1,5.0,3.0,6,2,11.375,10.58333333,0.75,0.791666667,2.208333333,1.041666667,6.583333333,7.0,8.0
NVCP,BREA,175,TEMPUR,Zone 1,Late,Direct to Consumer,0,3.5,4.0,5,9,8.75,3.583333333,0.458333333,5.166666667,2.083333333,0.083333333,0.958333333,1.0,5.0
DRYN,HILE,91,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,4,7.5,6.541666667,0.5,0.958333333,2.083333333,0.208333333,3.75,4.0,10.0
PRNL,RLGH,81,TEMPUR,Zone 2,Early,TRS,1,5.0,4.0,3,6,29.58333333,29.58333333,0.75,0.0,27.125,0.583333333,1.125,1.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,2,10.375,3.583333333,0.666666667,6.791666667,1.083333333,0.25,1.583333333,2.0,10.0
SPCG,RENV,417,SEALY,Zone 1,On time,Other,0,5.0,4.0,5,2,20.5,17.58333333,11.58333333,2.916666667,5.291666667,0.708333333,0.0,11.0,8.0
PRNL,VEGA,160,TEMPUR,Zone 1,Early,TRS,0,4.0,4.0,2,2,7.375,7.375,0.75,0.0,2.916666667,2.75,0.958333333,1.0,10.0
DRYN,HOUN,150,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,3,17.375,10.5,2.333333333,6.875,0.916666667,0.208333333,7.041666667,9.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,3,11,11.58333333,11.58333333,0.791666667,0.0,5.0,2.25,3.541666667,4.0,10.0
DRYN,LBCK,150,TEMPUR,Zone 3,On time,Direct to Consumer,0,5.0,5.0,3,5,15.45833333,10.5,0.625,4.958333333,2.0,0.958333333,6.916666667,7.0,10.0
SSYS,LEXI,75,TEMPUR,Zone 2,On time,Direct to Consumer,0,5.0,5.0,3,8,8.333333333,8.208333333,0.416666667,0.125,4.75,1.125,1.916666667,2.0,10.0
SSYS,TOLL,160,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,6,4.666666667,4.5,1.458333333,0.166666667,0.166666667,0.75,2.125,3.0,10.0
PRNL,RLGH,81,TEMPUR,Zone 1,Late,Direct to Consumer,0,4.0,4.0,4,7,19.58333333,19.58333333,1.166666667,0.0,15.125,0.625,2.666666667,3.0,10.0
PRNL,CHIC,75,TEMPUR,Zone 1,Early,Direct to Consumer,0,2.0,3.5,5,12,7.375,6.583333333,0.5,0.791666667,1.083333333,0.958333333,4.041666667,4.0,6.0
DRYN,LBCK,150,TEMPUR,Zone 2,Early,Direct to Consumer,0,5.0,5.0,5,7,20.20833333,19.5,11.16666667,0.708333333,1.916666667,4.708333333,1.708333333,12.0,10.0
DRYN,HOUN,439,SEALY,Zone 1,On time,Direct to Consumer,0,5.0,5.0,5,12,22.45833333,9.5,8.25,12.95833333,1.125,0.083333333,0.041666667,8.0,10.0
SPCG,BOSE,185,TEMPUR,Zone 1,On time,TRS,0,4.0,4.0,4,3,9.458333333,8.583333333,0.666666667,0.875,1.0,5.041666667,1.875,2.0,6.0
NVCP,BREA,160,TEMPUR,Zone 1,On time,TRS,0,5.0,4.5,4,11,15.33333333,9.583333333,3.541666667,5.75,2.166666667,0.833333333,3.041666667,6.0,10.0
SSYS,DAYT,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,3,15.375,7.583333333,3.541666667,7.791666667,3.166666667,0.541666667,0.333333333,3.0,9.0
PRNL,RIVE,91,TEMPUR,Zone 1,On time,Direct to Consumer,0,3.5,5.0,4,7,7.416666667,6.583333333,0.375,0.833333333,5.0,0.208333333,1.0,1.0,8.0
PRNL,28,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,2.0,4,7,5.708333333,5.583333333,0.583333333,0.125,2.208333333,2.625,0.166666667,0.0,10.0
DRYN,AUSN,150,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,2.5,4,1,6.583333333,6.5,0.333333333,0.083333333,5.083333333,0.5,0.583333333,0.0,9.0
PRNL,SANF,150,TEMPUR,Zone 1,On time,TRS,0,3.0,1.5,4,11,13.58333333,12.58333333,4.5,1.0,0.083333333,4.875,3.125,7.0,5.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,TRS,1,1.0,4.0,3,3,8.583333333,3.583333333,0.625,5.0,1.958333333,0.291666667,0.708333333,1.0,2.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,5,7,9.375,6.583333333,0.625,2.791666667,4.041666667,0.25,1.666666667,2.0,10.0
PRNL,RICA,417,SEALY,Zone 1,On time,Other,1,5.0,5.0,4,11,14.54166667,14.54166667,7.375,0.0,4.958333333,0.0,1.833333333,8.0,10.0
SSYS,IRVN,430,SEALY,Zone 1,On time,Direct to Consumer,0,5.0,5.0,4,1,27.58333333,19.58333333,14.75,8.0,4.166666667,0.041666667,0.625,15.0,10.0
SSYS,BRHT,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,3,6,21.5,8.583333333,0.541666667,12.91666667,5.166666667,0.958333333,1.916666667,2.0,10.0
PRNL,DEVR,160,RESIDENT HOME,Zone 1,Late,Resident Home,0,3.0,4.0,7,12,10.625,9.0,0.458333333,1.625,2.458333333,4.958333333,1.125,1.0,7.0
NVCP,BREA,175,TEMPUR,Zone 2,On time,Direct to Consumer,1,5.0,3.0,5,4,20.375,6.583333333,0.708333333,13.79166667,3.083333333,0.166666667,2.625,3.0,6.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,TRS,1,4.0,3.5,3,7,7.583333333,7.583333333,0.666666667,0.0,4.958333333,0.291666667,1.666666667,2.0,8.0
NVCP,BREA,420,SEALY,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,11,10.5,8.583333333,1.708333333,1.916666667,1.208333333,0.0,5.666666667,7.0,9.0
NVCP,RLNJ,59,TEMPUR,Zone 1,On time,Direct to Consumer,0,5.0,5.0,6,5,8.541666667,5.583333333,0.708333333,2.958333333,1.166666667,2.541666667,1.166666667,1.0,10.0
SPCG,WAKE,75,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,10,8.666666667,8.583333333,1.166666667,0.083333333,1.291666667,0.958333333,5.166666667,6.0,10.0
NDLV,MWAY,81,TEMPUR,Zone 2,Early,Direct to Consumer,0,5.0,5.0,2,6,11.45833333,8.625,0.5,2.833333333,0.166666667,4.083333333,3.875,4.0,10.0
SPCG,RENV,190,TEMPUR,Zone 2,Early,TRS,1,4.0,2.0,3,3,28.5,8.583333333,0.75,19.91666667,5.208333333,1.791666667,0.833333333,1.0,7.0
SSYS,NAVI,150,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,4,2,21.29166667,15.58333333,5.625,5.708333333,1.125,6.5,2.333333333,7.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,TRS,0,4.0,3.5,2,7,13.58333333,13.58333333,1.458333333,0.0,10.95833333,0.25,0.916666667,2.0,10.0
PRNL,RIVE,421,SEALY,Zone 1,On time,640,0,4.5,5.0,7,3,13.33333333,10.58333333,3.708333333,2.75,6.25,0.083333333,0.541666667,4.0,9.0
SPCG,SLCY,170,TEMPUR,Zone 1,Late,TRS,0,5.0,3.0,5,11,8.583333333,7.583333333,0.666666667,1.0,2.083333333,3.083333333,1.75,2.0,10.0
NVCP,RLNJ,75,TEMPUR,Zone 2,On time,Direct to Consumer,1,3.0,1.0,4,9,30.41666667,18.58333333,8.666666667,11.83333333,7.0,2.166666667,0.75,9.0,0.0
PRNL,RLGH,419,SEALY,Zone 1,Early,S&F.com,0,5.0,5.0,3,1,11.58333333,11.58333333,6.791666667,0.0,4.083333333,0.166666667,0.541666667,7.0,10.0
PRNL,RIVE,91,TEMPUR,Zone 1,Early,Direct to Consumer,0,5.0,5.0,7,8,18.58333333,3.583333333,0.666666667,15.0,2.041666667,0.166666667,0.708333333,1.0,10.0
NVCP,BREA,175,TEMPUR,Zone 2,On time,Direct to Consumer,0,5.0,5.0,3,7,8.375,3.583333333,0.916666667,4.791666667,2.083333333,0.083333333,0.5,1.0,10.0
NVCP,RLNJ,59,TEMPUR,Zone 1,Early,TRS,0,5.0,5.0,3,11,21.625,16.58333333,7.583333333,5.041666667,2.041666667,0.291666667,6.666666667,14.0,10.0
NVCP,BREA,175,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,7,5,5.416666667,3.0,0.583333333,2.416666667,1.333333333,0.208333333,0.875,1.0,10.0
DRYN,HILE,59,TEMPUR,Zone 1,On time,TRS,0,5.0,5.0,6,8,21.54166667,21.54166667,13.33333333,0.0,1.041666667,2.916666667,4.25,17.0,10.0
SSYS,ANMO,59,TEMPUR,Zone 2,On time,Direct to Consumer,0,4.0,4.0,5,8,8.583333333,8.583333333,1.166666667,0.0,2.041666667,1.25,4.125,5.0,5.0
